연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
387,태장동,태봉 경로당,태장동 1395-11,현충로318번길 28(태장동),조적조/변색벽돌,49,19,30,78.93,2015-07-21
388,태장동,가현 경로당,가현동 209,호저로 200-1(가현동),철근콘크리트구조,50,18,32,257.25,2014-08-19
389,태장동,가청 경로당,가현동 127-2,가현로 45(가현동),철근콘크리트구조,42,13,29,131.16,2009-09-28
390,태장동,뉴스테이A 경로당,태장동 1720-48,태장공단길 54-14 (관리동 1층),철근콘크리트,25,11,14,63,2014-10-31
391,태장동,e편한세상원주태장 경로당,태장동 2731,현충로 232번길 42,철근콘크리트,26,12,14,139.35,2018-12-24
392,봉산동,봉일 경로당,봉산동 1025-6,치악로 1921(봉산동),철근콘크리트조,51,17,34,225.04,1994-04-12
393,봉산동,봉이 경로당,봉산동 916-12,봉천길 39-13(봉산동),붉은벽돌,72,16,56,145.88,1992-11-16
394,봉산동,배말타운A 경로당,봉산동 1203-1 배말타운A,"치악로 1883(봉산동, 배말타운A)",철근콘크리트,57,8,49,67.45,2005-01-03
395,봉산동,삼익A 경로당,봉산동 1201 삼익A,"행구로 84(봉산동, 삼익A)",철근콘크리트,52,16,36,132.06,1995-07-14
396,봉산동,동신A 경로당,봉산동 1201-2 동신A,"행구로 102(봉산동, 동신A)",조적조,28,3,25,52.65,1998-03-12
397,봉산동,살대울 경로당,봉산동 441-1,살대울모래기길 13-3(봉산동),변색벽돌/경량철골조(2층),27,14,13,188.51,1994-12-26
398,봉산동,번재 경로당,봉산동 730-1,번재길 217(봉산동),철근콘크리트,47,18,29,125.1,2016-12-21
399,봉산동,화시래 경로당,강원 원주시 봉산동 55,화실유암길 92-16(봉산동),경량철골구조,41,13,28,162.08,1993-09-16
400,봉산동,삼광 경로당,봉산동 833-9,봉산로 135(봉산동),철근콘크리트,51,23,28,199.8,2000-10-26
401,봉산동,현대A 경로당,봉산동 1182 현대A,"봉산로 82(봉산동, 현대A)",철근콘크리트,47,13,34,43.072,1993-12-17
402,봉산동,봉천 경로당,봉산동 1136-2,봉산로 22-9(봉산동),기타강구조,49,21,28,107.47,2004-06-17
403,행구동,거음터 경로당,행구동 548,웃거름터길 3(행구동),조적조(변색벽돌),59,28,31,102.66,1993-12-06
404,행구동,신월랑 경로당,행구동 666-5,고문골길 1(행구동),철근콘크리트슬라브,64,29,35,142.42,1992-06-11
405,행구동,행구촌 경로당,행구동 1300,살구둑길 19-2(행구동),철근콘트리트/스라브,35,18,17,111.65,1987-11-30
406,행구동,오리현 경로당,행구동 943-1,행구덕현길 70(행구동),철근콘트리트구조,29,11,18,110.61,2015-10-06
407,행구동,행구동 경로당,행구동 1663-11,영랑길 109(행구동),조적조,51,25,26,104.31,1992-08-05
408,행구동,건영A 경로당,행구동 1850 건영A,"행구로 287(행구동, 건영A)",철근콘크리트벽식조슬라브구조,79,24,55,144.29,1996-03-28
409,행구동,현대A 경로당,행구동 1658-4 현대A,"행구로 216(행구동, 현대A)",철근콘크리트벽식조슬라브구조,45,17,28,115,1997-09-10
410,행구동,금강아미움A 경로당,행구동 1815-1 금강아미움A,"행구로 140(행구동, 금강아미움A)",철근콘크리트,25,13,12,155.79,2007.12.31
411,행구동,효성백년가약A 경로당,행구동 1851 효성백년가약A,"번재길 32(행구동, 효성백년가약A)",철근콘크리트,59,23,36,87.141,2009-05-29
412,무실동,이화마을 경로당,단계동 909,서원대로 234(단계동),철근콘크리트,41,15,26,126.42,2010-10-07
413,무실동,코오롱A 경로당,단계동 880 코오롱A,"로아노크로 15(단계동, 코오롱A )",철근콘크리트,14,2,12,44.6,1994-10-15
414,무실동,무실본동 경로당,무실동 1826,무실로 323(무실동),철근콘크리트,23,11,12,142.56,2010-12-22
415,무실동,무실3통 경로당,무실동 835-9,둔전길 182(무실동),철근콘크리트구조,40,18,22,99.66,2005-08-25
416,무실동,요진보네르카운티A 경로당,무실동 1640 요진보네르카운티A,"시청로 64(무실동, 요진보네르카운티1차A)",철근콘크리트,49,16,33,110.25,2004-12-07
417,무실동,무실주공1단지A 경로당,무실동 1649 주공무실1단지,"시청로 68(무실동, 주공무실1단지)",철근콘크리트,26,8,18,89.28,2004-06-30
418,무실동,뜨란채A 경로당,무실동 1651 뜨란채A 201동(1층),"시청로 90(무실동, 뜨란채A)",철근콘크리트,28,7,21,117,2006-08-14
419,무실동,무실주공3단지A 경로당,무실동 1645 무실주공3단지,"시청로 92(무실동, 무실주공3단지)",철근콘크리트,35,13,22,136.07,2003-04-14
420,무실동,무실주공4단지A 경로당,무실동 1644 무실주공4단지,"시청로 88(무실동, 무실주공4단지)",철근콘크리트,19,8,11,90,2001-11-07
421,무실동,무실주공5단지A 경로당,무실동 1713 무실주공5단지,"만대로 96(무실동, 무실주공5단지)",철근콘크리트,13,3,10,71.34,2008-11-26
422,무실동,무실6단지휴먼시아A 경로당,무실동 1715-1 무실6단지 휴먼시아,"만대로 119(무실동, 무실주공6단지)",철근콘크리트,21,11,10,200.64,2010-05-10
423,무실동,무실주공7단지A 경로당,무실동 1716-1 무실주공7단지,"시청로 40(무실동, 무실7주공단지)",철근콘크리트,20,6,14,102,2009-05-07
424,무실동,무실8단지A 경로당,무실동 1790 무실8단지 엘에치A내,"무실로 300(무실동, 무실주공8단지)",철근콘크리트,18,2,16,145.99,2010-10-11
425,무실동,무실이편한세상A 경로당,무실동 1714 무실이편한세상A 201동,"만대로 89(무실동, 이편한세상A)",철근콘크리트,14,6,8,173.8,2009-01-12
426,무실동,부영A 경로당,무실동 1846-5,"무실로 380(무실동, 사랑으로 부영A)",철근콘크리트,15,5,10,110.0471,2012-07-20
427,무실동,무실우미린A 경로당,무실동 1868-6,"무실로 455(무실동, 우미린A)",철근콘크리트,20,9,11,132.8165,2014-09-11
428,무실동,무실세영리첼1차A 경로당,무실동 1861-1,"무실로 382(무실동, 세영리첼1차A)",철근콘크리트,30,19,11,98.4655,2014-06-24
429,무실동,무실세영리첼2차A 경로당,무실동 1868-1,"무실로 415(무실동, 세영리첼2차A)",철근콘크리트,23,6,17,107.56,2015-06-08
430,반곡관설동,봉대 경로당,반곡동 357-4,봉대길 55(반곡동),변색벽돌,38,19,19,84.42,1988-12-07
431,반곡관설동,반곡 경로당,반곡동 1575-2,입춘내길 52-25(반곡동),세멘브럭,32,13,19,64.8,1980-09-24
432,반곡관설동,관설 경로당,"관설동 619-4,619-5",섭재삼보길 40-15(관설동),경량철골구조,70,27,43,199.68,2011-07-08
433,반곡관설동,볼눈 경로당,관설동 743,학마을길 38(관설동),철근콘크리트조/경량철골조,63,23,40,104,1998-10-12
434,반곡관설동,청솔5차A 경로당,관설동 1774-3 청솔5차A,"시청로 524(관설동, 청솔5차A)",철근콘크리트,29,11,18,66.5,2001-10-30
435,반곡관설동,청솔6차A 경로당,관설동 1713-1 청솔6차A,"단관초교길 9(관설동, 청솔6차A)",철근콘크리트,22,4,18,90.41,2002-06-28
436,반곡관설동,청솔8차A 경로당,관설동 1713-3 청솔8차A,"나비허리길 188(관설동, 청솔8차A)",철근콘크리트,26,5,21,93.341,2002-11-30
437,반곡관설동,라옹정 경로당,관설동 1693,단관길 167(관설동),철근콘크리트조/스라브,54,22,32,145.24,1999-04-08
438,반곡관설동,코아루A 경로당,관설동 1774-4 코아루A,"시청로 496(관설동, 코아루A)",철근콘크리트,25,10,15,85.63,2005-03-05
439,반곡관설동,섭재 경로당,관설동 440-1,섭재삼보길 96(관설동),철근콘크리트,73,30,43,121.5,1992-11-16
440,반곡관설동,삼보 경로당,반곡동 678,섭재삼보길 203(반곡동),조적조(변색벽돌)/스라브,32,14,18,46.06,1994-01-07
441,반곡관설동,벽산블루밍A 경로당,반곡동 1800 벽산블루밍A,"반곡길 48(반곡동, 벽산블루밍1차A)",철근콘크리트,28,9,19,74,2008-03-21
442,반곡관설동,반곡아이파크A 경로당,반곡동 1805 반곡아이파크A,"늘품로 199(반곡동, 반곡아아파크A)",철근콘크리트,36,13,23,198.77,2008-03-27
443,반곡관설동,푸른숨LH11단지 경로당,반곡동 1816-2 푸른숨11단지,"혁신로 400(반곡동, 푸른숨11단지)",철근콘크리트,28,10,18,154.72,2014-10-24
444,반곡관설동,힐데스하임A 경로당,반곡동 1894-2 힐데스하임A,"혁신로 91(반곡동, 힐데스하임A) ",철근콘크리트,14,6,8,121.3318,2015-05-01
445,반곡관설동,푸른숨LH10단지 경로당,반곡동 1818-5 푸른숨10단지,"혁신로 350(반곡동, 푸른숨10단지)",철근콘크리트,59,24,35,141.45,2015-12-16
446,반곡관설동,부영8단지A 경로당,반곡동 1964-3 부영8단지,"양지로 160(반곡동, 부영8단지)",철근콘크리트,18,10,8,203.14,2015-09-15
447,반곡관설동,푸른숨LH3단지 경로당,반곡동 2047-4 푸른숨3단지,"배울로 50(반곡동, 푸른숨LH3단지)",철근콘크리트,21,8,13,151.7,2015-06-18
448,반곡관설동,부영1단지A 경로당,반곡동 2049-8,배울로 49(반곡동),철근콘크리트,32,13,19,127,2015-12-22
449,반곡관설동,푸른숨9단지A 경로당,반곡동 1818-10,"혁신로 346(반곡동, 푸른숨9단지A)",철근콘크리트,23,8,15,141.84,2016-11-17
450,반곡관설동,월운정 경로당,반곡동 1741-30,월운정길 80-2,철근콘크리트,55,23,32,169.09,1995-12-06
451,반곡관설동,중흥S클래스프라디움A 경로당,반곡동 2047-5,배울로 24(반곡동),철근콘크리트,31,15,16,172.55,2016-10-25
452,반곡관설동,LH센트럴파크A경로당,반곡동 1993-3,"혁신로 224(반곡동,LH센트럴파크)",철근콘크리트,25,12,13,122.37,2019-02-01
453,반곡관설동,e편한세상반곡A 경로당,반곡동 2069,"오리현길 62(반곡동,e편한세상반곡)",철근콘크리트,18,7,11,110.177,2018-11-15
