연번,읍면동,경로당 명,소재지,새주소,건물구조,계,남,여,"경로당
면적
(㎡)","건축년도
(준공일)"
246,명륜1동,성원A 경로당,명륜동 802 성원A,"무실로 155(명륜동, 성원A)",철근콘크리트,29,13,16,194.82,2000-08-12
247,명륜1동,치악맨션 경로당,명륜동 26 치악맨션,"치악로 1803(명륜동, 치악맨션)",철근콘크리트,49,17,32,43.68,1983-01-24
248,명륜1동,대성현대A 경로당,명륜동 124-8 대성현대A,"향교길 53(명륜동, 대성현대A)",철근콘크리트,19,8,11,71.83,1990-03-30
249,명륜1동,현대1차A 경로당,명륜동 205-37 현대1차A,"남산로 30(명륜동, 현대A)",조적조/철근콘크리트,63,25,38,99,1990-05-14
250,명륜1동,종각 경로당,명륜동 309-16,종각길 16-6(명륜동),경량철골조,28,8,20,98.01,2002-09-27
251,명륜2동,단구1차A 경로당,명륜동 376 단구1차A,"남원로527번길 61(명륜동, 단구1차A)",철근콘크리트,30,5,25,82.7,1988-10-15
252,명륜2동,단구2차A 경로당,명륜동 480 단구2차A,"남원로527번길 23(명륜동, 단구2차A)",철근콘크리트,26,15,11,49.5,1989-03-10
253,명륜2동,명륜2단지A 경로당,명륜동 705 명륜2단지A,"예술관길 31(명륜동, 명륜2단지)",철근콘크리트,45,6,39,201.11,2006-11-20
254,명륜2동,삼성A 경로당,명륜동 547 삼성A,"예술관길 15(명륜동, 삼성A)",철근콘크리트,34,11,23,78,1990-11-16
255,명륜2동,은행A 경로당,명륜동 549 은행A,"남원로527번길 35(명륜동, 은행A)",철근콘크리트,19,6,13,67.8,1990-03-19
256,명륜2동,현대2차A 경로당,단구동 1589-1,"서원대로 308(명륜동, 현대2차A)",철근콘크리트,22,5,17,55.66,1989-04-19
257,명륜2동,영진3차A 경로당,명륜동 774,"서원대로길 306(명륜동, 영진3차A)",철근콘크리트,22,7,15,67.04,1993-05-06
258,명륜2동,행.명A 경로당,명륜동 710 행운.명륜A,"예술관길 32(명륜동, 행운·명륜3차A)",철근콘크리트,38,5,33,87.4,1993-03-20
259,명륜2동,청구1단지A 경로당,명륜동 847-1 ,"남원로469번길 81(명륜동, 청구1단지)",철근콘크리트,17,5,12,87.4,1995-04-23
260,명륜2동,청구2단지A 경로당,명륜동 847-3 ,"남원로 441(명륜동, 청구2단지)",철근콘크리트,30,15,15,79.2,1995-03-27
261,명륜2동,동보렉스9차A 경로당,명륜동 848-1 ,"남원로469번길 82(명륜동, 동보렉스9차A)",철근콘크리트,24,8,16,79.02,2001-04-16
262,명륜2동,동보노빌리티1차A 경로당,명륜동 847-5 ,"시청로 255(명륜동, 동보노빌리티1차A)",철근콘크리트,31,14,17,120.25,2001-09-14
