,식당명,GRID_X,GRID_Y
200,청룡한우소머리곰탕,396833,523852
201,BBQ일산점,395202,527572
202,채움,405668,515561
203,자미궁,384150,523396
204,마마진스,395076,524362
205,투다리 한라비발디점,394280,528864
206,육회집,394591,529598
207,바른맥주원주단구점,396360,524498
208,낮엔밥상저녁엔술상,396758,524352
209,빡도니,393046,522025
210,레이첼스홈,399269,531755
211,평창한우마을 봉화산점,393327,527634
212,왕천파닭 단계점,393762,527320
213,봉구스밥버거 무실점,393719,526065
214,로티보이 원주고속버스터미널점,394168,526935
215,올챙이할머니,395693,527560
216,바빈스커피 원주1호점,393740,527178
217,로뎀에스프레소1호점,395356,526248
218,요런떡볶이 원주무실2호점,393915,525434
219,할리스커피 원주중앙점,395763,527472
220,파스쿠찌 원주봉화산점,393852,527289
221,고봉민김밥인 원주단구점,395735,525362
222,구움,394086,525634
223,카페드롭탑 원주법원점,394100,525800
224,카무,396870,524466
225,봉구스밥버거 단계점,393980,527005
226,명품꼬마김밥,393718,527211
227,뚜레쥬르 원주터미널점,394071,526982
228,배스킨라빈스 원주터미널,394071,526982
229,네이키드베이커리,394871,524919
230,아이러브커피,395656,527648
231,오스타스뷔페,394100,525800
232,딸부자꼬마김밥 반곡점,397011,526153
233,가마치통닭 봉산점,397046,526704
234,윤가네한우생곱창 본점,394290,528862
235,커피은석씨,390075,531935
236,섬강풍경,387256,532247
237,원주뚝배기짬뽕 우산점,394834,529449
238,한가터송어회,400394,524984
239,스테이크팩토리,393923,525648
240,황금목장,397823,526477
241,불타는화로닭발,394064,527429
242,산들내음,390465,511922
243,BBQ치킨 원주우산점,394556,529589
244,틈새포차,393724,526278
245,센,393575,527433
246,인더키친,393602,526749
247,길박사막국수,394149,526566
248,불향기,395063,524951
249,뜰에꽃송이,391241,523580
250,59쌀피자 태장점,396761,529123
251,박사커피,388968,526195
252,카페로뎀,399923,520305
253,따블드모나미,399764,530541
254,해신수산,393087,525883
255,감성육개장,393457,525592
