,식당명,GRID_X,GRID_Y
146,2015-12-28 18:30,391680,529308
147,2016-11-26 18:00,392831,534518
148,2016-02-21 10:00,395082,525962
149,2016-03-07 22:00,397403,523949
150,2016-03-29 17:00,396610,524979
151,2016-04-01 18:00,407476,514291
152,2016-07-17 21:00,398712,525870
153,2016-06-21 22:00,394987,527931
154,2016-08-11 4:00,396891,535105
155,2016-06-10 13:00,396143,533533
156,2016-07-02 6:00,390622,534939
157,2016-08-08 4:00,395240,525863
158,2016-04-16 19:00,395438,530824
159,2016-07-30 3:00,380428,521445
160,2016-05-07 12:00,392752,523619
161,2016-06-03 1:00,387417,525340
162,2016-07-24 11:00,396838,525301
163,2016-02-02 18:00,396507,527022
164,2016-01-09 23:00,395239,525869
165,2016-01-30 8:00,394421,527809
166,2016-12-20 2:00,408013,513681
167,2016-10-27 0:00,387473,506644
168,2016-09-18 10:00,395556,531416
169,2016-10-12 0:00,391325,528044
170,2016-10-05 5:00,385211,524127
171,2016-09-05 22:00,395125,525570
172,2016-01-09 2:00,398132,523039
173,2016-12-02 18:00,396515,524132
174,2016-02-01 7:00,393838,528023
175,2016-12-28 10:00,395633,527526
176,2016-12-30 8:00,394886,532287
177,2016-03-27 15:00,399032,521505
178,2016-11-02 18:00,390611,512693
179,2016-12-05 18:00,387318,526632
180,2016-11-13 9:00,397070,526814
181,2016-01-16 16:00,384850,518977
182,2017-01-03 5:00,396423,527320
183,2017-01-09 15:00,385804,533819
184,2017-01-17 12:00,382200,513514
185,2017-01-20 12:00,399024,533591
186,2017-01-27 22:00,397464,523883
187,2017-01-29 2:00,410809,516736
188,2017-01-29 18:00,390708,532165
189,2017-03-07 19:00,395825,526163
190,2017-03-13 11:00,397635,526323
191,2017-05-02 4:00,394984,529762
192,2017-06-13 13:00,380088,516859
193,2017-06-24 5:00,395318,530591
194,2017-06-29 18:00,394881,529995
195,2017-07-01 11:00,394462,525969
196,2017-07-10 19:00,390464,509203
197,2017-07-12 2:00,395714,524253
198,2017-07-19 19:00,385590,519859
199,2017-07-29 9:00,394935,527899
200,2017-07-30 14:00,394591,532608
201,2017-08-01 17:00,399168,526766
202,2017-08-08 5:00,396161,527272
203,2017-08-11 17:00,407550,514382
204,2017-08-25 22:00,396472,523943
205,2017-08-30 4:00,395522,525611
206,2017-09-10 9:00,395263,530435
207,2017-09-20 9:00,394311,527536
208,2017-09-21 8:00,384215,537006
209,2017-09-27 13:00,395247,527572
210,2017-10-06 0:00,396405,527089
211,2017-11-02 14:00,394713,531158
212,2017-11-19 7:00,413001,516442
213,2017-12-02 17:00,389944,507631
214,2017-12-03 21:00,382164,517955
215,2017-12-11 18:00,396234,526709
216,2017-12-30 4:00,396033,526512
217,2018-10-23 17:10,395003,526583
218,2018-10-27 4:50,389879,509763
219,2018-04-14 5:10,396550,527203
220,2018-03-18 2:10,386118,523598
221,2018-04-28 1:17,396844,534933
222,2018-11-08 21:20,395666,525904
223,2018-02-13 14:00,379387,509301
224,2018-07-21 5:00,394399,525325
225,2018-12-20 21:00,391160,516273
226,2018-11-15 1:25,394357,526537
227,2018-01-12 15:05,394502,528337
228,2018-06-07 6:03,395811,532444
229,2018-01-09 17:53,402326,537291
