,허가번호,GRID_X,GRID_Y
131,2021-건축과-용도변경허가-25,393134,522328
132,2021-신속허가과-신축허가-52,408177,515643
133,2021-신속허가과-신축허가-53,389317,530379
134,2021-신속허가과-신축허가-51,397098,531515
135,2021-신속허가과-신축허가-48,391418,527040
136,2021-신속허가과-신축허가-49,385990,524000
137,2021-신속허가과-증축허가-12,399914,527075
138,2021-건축과-용도변경허가-24,398765,526735
139,2021-신속허가과-신축허가-47,401386,527119
140,2021-신속허가과-증축허가-11,395920,533844
141,2021-신속허가과-증축허가-17,396038,528960
142,2021-건축과-용도변경허가-34,396122,528779
143,2021-건축과-용도변경허가-35,393936,528631
144,2021-신속허가과-신축허가-89,396148,528447
145,2021-신속허가과-신축허가-90,399049,528719
146,2021-안전도시과-용도변경허가-4,397251,524530
147,2021-신속허가과-신축허가-88,396226,528139
148,2021-안전도시과-신축허가-28,399929,525322
149,2021-안전도시과-신축허가-27,399490,524402
150,2021-신속허가과-신축허가-87,394096,523944
151,2021-신속허가과-증축허가-16,392950,525629
152,2021-신속허가과-신축허가-85,399103,524280
153,2021-신속허가과-신축허가-86,389405,531402
154,2021-신속허가과-신축허가-83,388947,531490
155,2021-건축과-용도변경허가-33,399937,526043
156,2021-안전도시과-신축허가-26,399017,525620
157,2021-신속허가과-신축허가-80,395671,528907
158,2021-신속허가과-신축허가-81,396374,530550
159,2021-신속허가과-공용건축물-12,392804,521518
160,2021-건축과-용도변경허가-31,389267,530373
161,2021-건축과-용도변경허가-32,395687,527372
162,2021-신속허가과-신축허가-79,390687,522329
163,2021-안전도시과-신축허가-24,398736,523381
164,2021-건축과-용도변경허가-30,393986,525824
165,2021-신속허가과-신축허가-75,396217,532862
166,2021-신속허가과-신축허가-76,384902,524143
167,2021-신속허가과-신축허가-77,398765,526735
168,2021-신속허가과-신축허가-78,398765,526735
169,2021-안전도시과-신축허가-23,399422,524430
170,2021-신속허가과-신축허가-73,395664,529021
171,2021-신속허가과-신축허가-74,397528,530419
172,2021-신속허가과-개축허가-1,394279,540948
173,2021-안전도시과-신축허가-22,398183,522923
174,2021-신속허가과-공용건축물-11,389281,530530
175,2021-안전도시과-신축허가-21,398216,522877
176,2021-신속허가과-신축허가-71,394589,528316
177,2021-신속허가과-신축허가-72,392889,521728
178,2021-신속허가과-신축허가-70,396087,530517
179,2021-신속허가과-공용건축물-15,396878,526937
180,2021-신속허가과-신축허가-109,383004,522448
181,2021-안전도시과-신축허가-41,399852,524933
182,2021-안전도시과-신축허가-42,399888,524933
183,2021-안전도시과-용도변경허가-5,396389,524542
184,2021-신속허가과-증축허가-23,390478,530125
185,2021-신속허가과-신축허가-107,394173,532358
186,2021-신속허가과-신축허가-108,397314,525747
187,2021-안전도시과-신축허가-38,396672,524906
188,2021-안전도시과-신축허가-39,399538,524354
189,2021-안전도시과-신축허가-40,399467,524331
190,2021-신속허가과-신축허가-106,389254,530261
191,2021-신속허가과-신축허가-105,397958,531140
192,2021-신속허가과-신축허가-103,389868,507900
193,2021-신속허가과-신축허가-104,395153,531673
194,2021-신속허가과-신축허가-102,397053,529780
195,2021-안전도시과-신축허가-37,399620,524935
196,2021-신속허가과-신축허가-101,398765,526735
197,2021-안전도시과-신축허가-35,397052,525282
198,2021-신속허가과-증축허가-21,382354,519629
199,2021-신속허가과-증축허가-22,394757,528264
200,2021-신속허가과-신축허가-100,382878,519981
201,2021-안전도시과-신축허가-34,396210,525602
202,2021-신속허가과-신축허가-99,396878,529698
203,2021-신속허가과-증축허가-19,394248,524840
204,2021-신속허가과-증축허가-20,392861,522462
205,2021-건축과-용도변경허가-37,395892,531645
206,2021-신속허가과-신축허가-97,383188,519931
207,2021-신속허가과-신축허가-96,390297,538904
208,2021-신속허가과-증축허가-18,401998,536727
209,2021-신속허가과-신축허가-94,395593,520198
210,2021-신속허가과-신축허가-95,397253,526019
211,2021-신속허가과-공용건축물-14,395000,528195
212,2021-안전도시과-신축허가-31,396736,525294
213,2021-안전도시과-신축허가-32,399804,524868
214,2021-신속허가과-신축허가-93,390233,530785
215,2021-건축과-용도변경허가-36,393868,525761
216,2021-신속허가과-신축허가-91,394676,519990
217,2021-신속허가과-신축허가-92,389732,530428
218,2021-신속허가과-증축허가-29,398765,526735
219,2021-신속허가과-신축허가-136,387160,527424
220,2021-안전도시과-증축허가-3,396672,524906
221,2021-안전도시과-용도변경허가-6,398251,522565
222,2021-건축과-용도변경허가-40,407680,519619
223,2021-신속허가과-신축허가-134,392986,522725
224,2021-신속허가과-신축허가-132,386153,519963
225,2021-신속허가과-신축허가-133,382157,520813
226,2021-신속허가과-신축허가-130,389868,531082
227,2021-신속허가과-신축허가-131,385346,525974
228,2021-건축과-용도변경허가-39,389899,523915
229,2021-신속허가과-신축허가-129,396456,528730
230,2021-신속허가과-신축허가-128,395814,530380
231,2021-신속허가과-신축허가-127,388856,532869
232,2021-신속허가과-공용건축물-16,396668,527114
233,2021-신속허가과-신축허가-125,395432,527564
234,2021-신속허가과-신축허가-126,389342,530132
235,2021-신속허가과-증축허가-28,396257,526163
236,2021-신속허가과-신축허가-124,388938,531446
237,2021-안전도시과-증축허가-2,398739,522770
238,2021-건축과-용도변경허가-38,385588,519487
239,2021-신속허가과-신축허가-122,387203,525363
240,2021-신속허가과-신축허가-123,388217,529197
241,2021-신속허가과-증축허가-27,395032,530598
242,2021-안전도시과-신축허가-46,399661,524858
243,2021-신속허가과-신축허가-121,384400,529590
244,2021-신속허가과-신축허가-120,389932,527231
245,2021-신속허가과-신축허가-118,405111,537162
246,2021-신속허가과-신축허가-119,395246,524338
247,2021-안전도시과-신축허가-44,399501,524371
248,2021-안전도시과-신축허가-45,399551,524386
249,2021-신속허가과-신축허가-117,404587,533378
250,2021-신속허가과-증축허가-26,388237,529738
251,2021-신속허가과-증축허가-25,380299,529450
252,2021-신속허가과-신축허가-116,390617,530802
253,2021-신속허가과-신축허가-112,395279,527871
254,2021-신속허가과-신축허가-114,385789,523818
255,2021-신속허가과-증축허가-24,395854,525394
256,2021-안전도시과-신축허가-43,399667,524804
257,2021-신속허가과-신축허가-110,394887,531145
258,2021-신속허가과-신축허가-111,396014,526139
259,2021-건축과-증축허가-1,381532,526663
260,2021-신속허가과-증축허가-33,385782,525864
261,2021-신속허가과-신축허가-153,396820,526125
262,2021-신속허가과-증축허가-32,395930,527164
263,2021-안전도시과-신축허가-51,396937,525599
264,2021-신속허가과-신축허가-151,394866,526050
265,2021-신속허가과-신축허가-152,393951,523398
266,2021-신속허가과-협의건축물-3,395356,527839
267,2021-건축과-용도변경허가-47,389160,530264
268,2021-건축과-용도변경허가-48,398464,524503
269,2021-신속허가과-신축허가-150,389138,530325
270,2021-신속허가과-신축허가-149,394847,526015
271,2021-신속허가과-신축허가-145,393003,524828
272,2021-신속허가과-신축허가-144,389010,531427
273,2021-건축과-용도변경허가-46,395460,527789
274,2021-건축과-용도변경허가-45,389677,534818
275,2021-신속허가과-신축허가-143,393967,525072
276,2021-신속허가과-증축허가-31,394928,526663
277,2021-신속허가과-공용건축물-18,392635,534849
278,2021-신속허가과-신축허가-142,398535,526902
279,2021-신속허가과-신축허가-140,392127,520259
280,2021-신속허가과-신축허가-141,396421,528359
281,2021-신속허가과-증축허가-30,383197,521392
282,2021-건축과-용도변경허가-44,390779,531946
283,2021-안전도시과-신축허가-50,399575,524426
284,2021-신속허가과-신축허가-139,393042,528284
285,2021-건축과-용도변경허가-43,393649,523368
286,2021-건축과-용도변경허가-41,395839,529435
287,2021-건축과-용도변경허가-42,378472,509119
288,2021-안전도시과-신축허가-49,399048,525693
289,2021-신속허가과-신축허가-138,397664,526562
290,2021-안전도시과-신축허가-47,396672,524906
291,2021-안전도시과-신축허가-48,399639,525466
292,2021-신속허가과-신축허가-164,399741,530529
293,2021-안전도시과-신축허가-60,396672,524906
294,2021-신속허가과-신축허가-163,396541,526439
295,2021-신속허가과-증축허가-37,382635,521002
296,2021-신속허가과-신축허가-162,390165,531015
297,2021-신속허가과-증축허가-36,395247,533699
298,2021-신속허가과-신축허가-159,389011,528027
299,2021-신속허가과-신축허가-161,394663,519980
300,2021-안전도시과-신축허가-59,397667,525307
301,2021-안전도시과-신축허가-58,396838,526084
302,2021-신속허가과-증축허가-35,395483,531575
303,2021-안전도시과-신축허가-56,399484,524272
304,2021-건축과-용도변경허가-51,394208,527622
305,2021-안전도시과-신축허가-54,399696,524975
306,2021-안전도시과-신축허가-55,398894,525691
307,2021-신속허가과-증축허가-34,389047,527507
308,2021-신속허가과-신축허가-158,393792,525676
309,2021-건축과-용도변경허가-49,393949,527505
310,2021-건축과-용도변경허가-50,385268,526056
311,2021-신속허가과-신축허가-156,414811,516149
312,2021-신속허가과-신축허가-157,393426,535612
313,2021-안전도시과-신축허가-52,399752,524970
314,2021-신속허가과-신축허가-154,396226,528139
315,2021-신속허가과-신축허가-155,382822,519884
316,2021-신속허가과-증축허가-39,390991,515061
317,2021-신속허가과-증축허가-40,388190,529614
318,2021-안전도시과-협의건축물-2,398429,525028
319,2021-신속허가과-공용건축물-22,397926,524887
320,2021-신속허가과-증축허가-38,398067,530971
321,2021-건축과-용도변경허가-57,394100,525801
322,2021-신속허가과-신축허가-175,398765,526735
323,2021-신속허가과-신축허가-174,398547,526976
324,2021-건축과-용도변경허가-56,399242,524996
325,2021-신속허가과-신축허가-173,400099,529832
326,2021-안전도시과-신축허가-66,397140,524666
327,2021-신속허가과-협의건축물-5,398322,530000
328,2021-신속허가과-협의건축물-6,389287,530584
329,2021-안전도시과-신축허가-64,395293,524614
330,2021-안전도시과-신축허가-65,399308,525260
331,2021-신속허가과-신축허가-171,392671,525558
332,2021-신속허가과-신축허가-172,394966,529862
333,2021-건축과-신축허가-2,394435,529742
334,2021-건축과-신축허가-3,394446,529728
335,2021-건축과-용도변경허가-54,394136,527370
336,2021-건축과-용도변경허가-55,388914,531193
337,2021-신속허가과-협의건축물-4,386926,525531
338,2021-신속허가과-신축허가-170,385917,528921
339,2021-건축과-용도변경허가-53,394553,531004
340,2021-신속허가과-신축허가-169,394588,519916
341,2021-안전도시과-신축허가-63,399425,524483
342,2021-신속허가과-신축허가-167,390544,531084
343,2021-신속허가과-신축허가-168,394622,524102
344,2021-신속허가과-신축허가-166,396359,527215
345,2021-건축과-공용건축물-3,395857,527439
346,2021-건축과-용도변경허가-52,379456,522105
347,2021-신속허가과-신축허가-165,397923,533235
348,2021-신속허가과-신축허가-195,395593,520198
349,2021-신속허가과-신축허가-194,394893,524276
350,2021-안전도시과-신축허가-70,399490,525600
351,2021-신속허가과-증축허가-48,380949,518513
352,2021-건축과-용도변경허가-65,394108,526876
353,2021-신속허가과-신축허가-193,394583,524132
354,2021-신속허가과-증축허가-47,400395,534000
355,2021-건축과-용도변경허가-64,396667,527047
356,2021-안전도시과-신축허가-69,396672,524906
357,2021-신속허가과-신축허가-191,393990,525043
358,2021-신속허가과-신축허가-192,405587,515573
359,2021-신속허가과-증축허가-44,385129,535056
360,2021-신속허가과-증축허가-45,389405,530019
361,2021-신속허가과-증축허가-46,393971,527008
362,2021-건축과-용도변경허가-63,395920,531310
363,2021-신속허가과-신축허가-186,398147,527206
364,2021-신속허가과-신축허가-187,389336,531843
365,2021-신속허가과-신축허가-188,394733,527013
366,2021-신속허가과-신축허가-189,393300,524321
367,2021-신속허가과-신축허가-190,395324,527167
368,2021-신속허가과-신축허가-185,395665,530844
369,2021-건축과-용도변경허가-61,384003,505358
370,2021-건축과-용도변경허가-62,395351,524304
371,2021-안전도시과-신축허가-68,399656,524655
372,2021-신속허가과-증축허가-43,391107,522792
373,2021-신속허가과-신축허가-184,389183,533290
374,2021-신속허가과-증축허가-42,395548,531579
375,2021-신속허가과-신축허가-183,393953,529252
376,2021-신속허가과-공용건축물-25,396226,528139
377,2021-안전도시과-신축허가-67,398222,522893
378,2021-신속허가과-신축허가-180,395493,527900
379,2021-신속허가과-신축허가-181,394651,528815
380,2021-신속허가과-신축허가-182,391123,521308
381,2021-신속허가과-증축허가-41,389035,530225
382,2021-건축과-용도변경허가-59,399853,535962
383,2021-건축과-용도변경허가-60,382653,533838
384,2021-신속허가과-신축허가-179,394803,530375
385,2021-건축과-용도변경허가-58,395664,529021
386,2021-신속허가과-신축허가-178,389818,509510
387,2021-신속허가과-신축허가-177,396338,528362
388,2021-신속허가과-증축허가-53,395146,526787
389,2021-건축과-용도변경허가-70,378488,509133
390,2021-신속허가과-신축허가-211,393156,524569
391,2021-신속허가과-신축허가-209,392470,521923
392,2021-신속허가과-신축허가-210,404084,533432
393,2021-건축과-협의건축물-1,394464,529640
394,2021-신속허가과-증축허가-52,404858,535418
395,2021-안전도시과-신축허가-78,396672,524906
396,2021-신속허가과-신축허가-207,395185,527371
397,2021-신속허가과-신축허가-208,389357,531945
398,2021-신속허가과-대수선허가-3,395509,527306
399,2021-안전도시과-신축허가-76,398848,525573
400,2021-안전도시과-신축허가-77,398831,525576
401,2021-신속허가과-신축허가-206,380646,518220
402,2021-신속허가과-신축허가-205,393035,521467
403,2021-안전도시과-신축허가-75,399414,524493
404,2021-신속허가과-증축허가-51,388237,529738
405,2021-건축과-용도변경허가-69,393623,523418
406,2021-신속허가과-신축허가-203,393340,527607
407,2021-신속허가과-신축허가-204,398208,527544
408,2021-신속허가과-증축허가-49,388972,531369
409,2021-신속허가과-증축허가-50,400461,534995
410,2021-건축과-용도변경허가-68,383913,508176
411,2021-안전도시과-신축허가-73,396332,523658
412,2021-안전도시과-신축허가-74,396849,523089
413,2021-신속허가과-신축허가-202,393439,534763
414,2021-안전도시과-증축허가-4,398739,522770
415,2021-신속허가과-신축허가-199,395168,526928
416,2021-신속허가과-신축허가-200,389206,532175
417,2021-신속허가과-신축허가-201,394928,526508
418,2021-안전도시과-신축허가-72,396672,524906
419,2021-안전도시과-신축허가-71,397527,523534
420,2021-신속허가과-신축허가-198,394258,529283
421,2021-신속허가과-신축허가-196,392612,529084
422,2021-신속허가과-신축허가-197,397753,527492
423,2021-건축과-용도변경허가-66,394948,527790
424,2021-건축과-용도변경허가-67,393844,527266
