,시설명,GRID_X,GRID_Y
168,사제3리(팔포) 경로당,389453,526175
169,사제4리 거장A 경로당,390248,525646
170,대안1리 경로당 ,389834,523152
171,대안2리 경로당 ,390022,521673
172,대안2리(해삼) 경로당,390539,522092
173,대안3리(술산) 경로당,389450,520270
174,대안3리(대수리) 경로당,389284,518880
175,매지1리 경로당,392478,520192
176,매지1리(분지동) 경로당 ,393223,519809
177,매지1리세동 경로당,392212,519627
178,매남동 경로당(매지2리 경로당),391988,519297
179,매지2리(한촌) 경로당,391905,518750
180,매지2리(미촌) 경로당 ,391892,517561
181,매지3리(개건너) 경로당,391476,517311
182,매지3리(회촌) 경로당,392249,516848
183,매지4리 현대A 경로당 ,392386,519745
184,매지5리 청솔A 경로당,392252,519531
185,금대1리 경로당 ,399868,520509
186,금대2리 경로당 ,401209,519003
187,금대3리 경로당,402385,518127
188,서곡1리 경로당,394788,523916
189,서곡1리(내남송) 경로당,395479,522875
190,서곡2리 경로당,394908,521710
191,서곡3리 경로당,394213,522463
192,서곡4리개건너 경로당,394922,521209
193,서곡4리(내동막) 경로당,395545,521164
194,후리사 경로당,394851,520374
195,서곡5리 거장2차A 경로당,396230,522732
196,서곡9리 원주더샾A 경로당,396290,522618
197,신촌리 경로당,397748,520857
198,서곡10리 경로당,395727,524016
199,남원주코아루미소지움A 경로당,394945,524420
200,신림1리 경로당,407528,513942
201,신림2리 경로당,408038,514502
202,신림3리 경로당,405974,515681
203,금창리 경로당,405575,515776
204,구학리 경로당,405742,511944
205,용암1리 경로당,408436,512610
206,용암2리 경로당,407839,512111
207,용암3리 경로당,409062,511357
208,성남1리 경로당,407609,517521
209,성남2리 경로당,407582,518608
210,황둔송계 경로당,416993,517777
211,황둔2리 경로당,412707,516540
212,송계2리 경로당,418069,519571
213,금창리 예찬마을 경로당,403404,514959
214,신림1리 본동 경로당,407233,514365
215,자유A 경로당,395695,527623
216,중평 경로당,396062,527516
217,중앙 경로당,395530,527830
218,거북 경로당,395004,528648
219,원인 경로당,395848,527152
220,장수 경로당,395603,527071
221,원동1차A 경로당,395199,526724
222,원동2단지A 경로당,485385,518541
223,한주A 경로당,317938,505285
224,현진A 경로당,395503,526916
225,진로A 경로당,395495,526613
226,개운 경로당,396414,526288
227,도말 경로당,396494,526201
228,부흥마을 경로당,395859,526010
229,서초A 경로당,396750,526132
230,개운현대A 경로당,395932,526088
231,원흥3차A 경로당,396104,525880
232,현대힐스테이트A 경로당,396851,526519
233,한신휴플러스A 경로당,395787,525579
234,개운LH1단지A 경로당,396175,526247
235,개운LH2단지A 경로당,396054,526225
236,원흥1차A 경로당,395718,525865
237,세경2차A 경로당,396854,526318
238,덕산아파트 경로당,396192,526535
239,교동 경로당,311706,553908
240,명륜 경로당(명일경로당),311426,554112
241,향교마을 경로당,395647,526261
242,세경A 경로당,311652,554252
243,동성A 경로당,311678,553935
244,성원A 경로당,395034,526596
245,치악맨션 경로당,311960,553962
246,대성현대A 경로당,395723,526500
247,현대1차A 경로당,395375,526477
248,종각 경로당,394900,526461
249,단구1차A 경로당,395017,525843
250,단구2차A 경로당,395327,525538
251,명륜2단지A 경로당,395062,525555
252,삼성A 경로당,395157,525680
253,은행A 경로당,395214,525632
254,현대2차A 경로당,395811,524395
255,영진3차A 경로당,394801,526025
256,행.명A 경로당,394912,525658
257,청구1단지A 경로당,394666,524858
258,청구2단지A 경로당,394854,524814
259,동보렉스9차A 경로당,394593,525014
260,동보노빌리티1차A 경로당,394729,524736
261,동보노빌리티2차A 경로당,394818,524655
262,현진에버빌3차A 경로당,394765,524908
263,한솔솔파크A 경로당,394802,525773
264,용화 경로당,395104,525181
265,서원 경로당,395451,525549
266,원주시 시각장애인 경로당,395293,525741
267,단구 경로당,396913,524775
268,강변 경로당,396745,525409
269,관후 경로당,396018,525508
270,치악 경로당,397178,524402
271,원흥4차A 경로당,396672,524906
272,대흥A 경로당,397053,524561
273,동주A 경로당,396605,525411
274,청솔4차A 경로당,396106,524228
275,한일A 경로당,395642,525225
276,두산A 경로당,395573,524887
277,현대1차A 경로당,395432,525199
278,통일장수회 경로당,396590,525573
279,대림A 경로당,395530,525330
280,성일A 경로당,395990,524268
281,구곡현대2차A 경로당,395811,524395
282,현진에버빌2차A 경로당,395891,524608
283,유승A 경로당,397308,524257
284,동보5차A 경로당,395889,525149
285,현진에버빌1차A 경로당,396290,524727
286,청솔1차A 경로당,395775,524302
287,현진5.6차A 경로당,396281,524187
288,세경웰러스A 경로당,395895,524308
289,청솔2차A 경로당,396075,524464
290,청솔7차A 경로당,395513,525099
291,한신2차A 경로당,396039,525302
292,신성미소지움A 경로당,396618,524649
293,단관중앙하이츠A 경로당,396530,523564
294,해청A 경로당,396376,525249
295,청솔3차A 경로당,396176,524382
296,천매 경로당,395353,524864
297,세경5차A 경로당,395971,524514
298,개화원 경로당,396328,524592
299,소담 경로당,396539,525243
300,한신더휴A 경로당,396133,525486
301,일산 경로당,394975,527500
302,원일 경로당,395051,527081
303,일광오 경로당,394712,527739
304,우보삼성A 경로당,394912,527104
305,신진빌리지A 경로당,394791,527313
306,원흥2차A 경로당,395077,526871
307,국제A 경로당,394767,527479
308,치악 경로당,395356,527839
309,두진하트리움시티아파트 경로당,395313,527665
310,학일 경로당,395229,528003
311,광명 경로당,395011,528189
312,서부 경로당,394900,528427
313,삼천리1차A 경로당,394699,527965
314,삼천리2차A 경로당,394678,527882
315,삼천리3차A 경로당,394653,528040
316,영진로얄타운 경로당,395154,527890
317,영진로얄맨션 경로당,395184,527834
318,원문 경로당,394779,528173
319,단계 경로당,394433,528256
320,단계A 경로당,394516,526847
321,모란 경로당,394593,528710
322,동보렉스3차A 경로당,394259,528281
323,동보렉스4차A 경로당,394191,528357
324,라이프A 경로당,393950,527691
325,롯데A 경로당,393901,527892
326,벽산A 경로당,394238,527711
327,삼익A 경로당,393950,527691
328,은행A 경로당,394008,528196
329,현대3차A 경로당,393942,528340
330,현진A 경로당,393895,528153
331,세경A 경로당,394014,527844
332,성일A 경로당,394250,527837
333,이편한세상A 경로당,393731,527677
334,이안A 경로당,394390,528713
335,봉화산주공A 경로당,393499,527677
336,샘둔지 경로당,394498,527328
337,무상 경로당,393637,528474
338,단계택지 경로당,394127,527427
339,봉화산벨라시티A 경로당,393487,527857
340,봉화산푸르지오A 경로당,393142,528104
341,우산 경로당,394832,529387
342,상지 경로당,394697,529806
343,백운 경로당,394461,529183
344,우두산 경로당,394675,531083
345,동보렉스1차A 경로당,394827,530105
346,동보렉스2차A 경로당,394848,530217
347,삼호A 경로당,394670,528937
348,덕원A 경로당,394530,528985
349,한라비발디1차A 경로당,394244,529047
350,한라비발디2차A 경로당,394058,529042
351,우산1통 경로당,394674,528858
352,신일유토빌A 경로당,394944,530129
353,우산동가현5통 경로당,394156,532196
354,웃골 경로당,393185,531814
355,동심 경로당,394598,529186
356,새동네 경로당,396014,528447
357,태일 경로당,396443,528390
358,현대A 경로당,396490,528952
359,동보렉스A 경로당,396691,528817
360,성호A 경로당,396742,528998
361,성호샤인힐즈A 경로당,396652,529061
362,흥화브라운빌A 경로당,396326,528877
363,태장LH천년나무5단지A 경로당,396903,528935
364,태장동 경로당,395793,531370
365,구룡 경로당,396368,531109
366,우성1차A 경로당,396043,532639
367,우성2차A 경로당,395676,530948
368,북원장수 경로당,395741,530694
369,불로 경로당,396031,530197
370,영진2차A 경로당,395777,529587
371,대흥2차A 경로당,395801,530865
372,백운2차A 경로당,396202,532542
373,백운3차A 경로당,395965,533315
374,주공1차A 경로당,396179,531524
375,주공2차A 경로당,396171,531395
376,주공3차A 경로당,396171,531395
377,주공4차A 경로당,396389,531409
378,삼정백조A 경로당,396465,531022
379,금광포란재A 경로당,396317,530287
380,두진백로A 경로당,396269,531127
381,요진보네르카운티2차A 경로당,395572,530812
382,신촌 경로당,395747,532685
383,거릿대 경로당,396301,531938
384,절골 경로당,396247,532708
385,태봉 경로당,395753,531077
386,가현 경로당,336923,490013
387,가청 경로당,395113,531606
388,뉴스테이A 경로당,395403,533902
389,e편한세상원주태장 경로당,396029,529866
390,봉일 경로당,396199,527860
391,봉이 경로당,396889,527043
392,배말타운A 경로당,396298,527491
393,삼익A 경로당,397200,526578
394,동신A 경로당,397421,526619
395,살대울 경로당,398271,527699
396,번재 경로당,398126,528654
397,화시래 경로당,398920,527303
398,삼광 경로당,397336,526793
399,현대A 경로당,396944,527059
400,봉천 경로당,396440,527125
401,거음터 경로당,400240,527514
402,신월랑 경로당,400378,526810
403,행구촌 경로당,399585,527059
404,오리현 경로당,400017,526174
405,행구동 경로당,398566,526345
